DATEHOUR,TIMESECS,"LOW STD, periodic data same every day except of last day, several hours high wait times, rest of the day low wait times"
8/23/2018 0:00,14302,
8/23/2018 1:00,8355,
8/23/2018 2:00,1654,
8/23/2018 3:00,2776,
8/23/2018 4:00,1557,
8/23/2018 5:00,1817,
8/23/2018 6:00,1900,
8/23/2018 7:00,1798,
8/23/2018 8:00,2206,
8/23/2018 9:00,2189,
8/23/2018 10:00,1878,
8/23/2018 11:00,2298,
8/23/2018 12:00,1849,
8/23/2018 13:00,2002,
8/23/2018 14:00,2537,
8/23/2018 15:00,2550,
8/23/2018 16:00,2244,
8/23/2018 17:00,2136,
8/23/2018 18:00,2217,
8/23/2018 19:00,2524,
8/23/2018 20:00,2595,
8/23/2018 21:00,14935,
8/23/2018 22:00,7901,
8/23/2018 23:00,8837,
8/24/2018 0:00,14302,
8/24/2018 1:00,8355,
8/24/2018 2:00,1654,
8/24/2018 3:00,2776,
8/24/2018 4:00,1557,
8/24/2018 5:00,1817,
8/24/2018 6:00,1900,
8/24/2018 7:00,1798,
8/24/2018 8:00,2206,
8/24/2018 9:00,2189,
8/24/2018 10:00,1878,
8/24/2018 11:00,2298,
8/24/2018 12:00,1849,
8/24/2018 13:00,2002,
8/24/2018 14:00,2537,
8/24/2018 15:00,2550,
8/24/2018 16:00,2244,
8/24/2018 17:00,2136,
8/24/2018 18:00,2217,
8/24/2018 19:00,2524,
8/24/2018 20:00,2595,
8/24/2018 21:00,14935,
8/24/2018 22:00,7901,
8/24/2018 23:00,8837,
8/25/2018 0:00,14302,
8/25/2018 1:00,8355,
8/25/2018 2:00,1654,
8/25/2018 3:00,2776,
8/25/2018 4:00,1557,
8/25/2018 5:00,1817,
8/25/2018 6:00,1900,
8/25/2018 7:00,1798,
8/25/2018 8:00,2206,
8/25/2018 9:00,2189,
8/25/2018 10:00,1878,
8/25/2018 11:00,2298,
8/25/2018 12:00,1849,
8/25/2018 13:00,2002,
8/25/2018 14:00,2537,
8/25/2018 15:00,2550,
8/25/2018 16:00,2244,
8/25/2018 17:00,2136,
8/25/2018 18:00,2217,
8/25/2018 19:00,2524,
8/25/2018 20:00,2595,
8/25/2018 21:00,14935,
8/25/2018 22:00,7901,
8/25/2018 23:00,8837,
8/26/2018 0:00,14302,
8/26/2018 1:00,8355,
8/26/2018 2:00,1654,
8/26/2018 3:00,2776,
8/26/2018 4:00,1557,
8/26/2018 5:00,1817,
8/26/2018 6:00,1900,
8/26/2018 7:00,1798,
8/26/2018 8:00,2206,
8/26/2018 9:00,2189,
8/26/2018 10:00,1878,
8/26/2018 11:00,2298,
8/26/2018 12:00,1849,
8/26/2018 13:00,2002,
8/26/2018 14:00,2537,
8/26/2018 15:00,2550,
8/26/2018 16:00,2244,
8/26/2018 17:00,2136,
8/26/2018 18:00,2217,
8/26/2018 19:00,2524,
8/26/2018 20:00,2595,
8/26/2018 21:00,14935,
8/26/2018 22:00,7901,
8/26/2018 23:00,8837,
8/27/2018 0:00,14302,
8/27/2018 1:00,8355,
8/27/2018 2:00,1654,
8/27/2018 3:00,2776,
8/27/2018 4:00,1557,
